isosmiles,data_collected
Brc1cccc(n1)-c2cccc(Br)n2,1
Brc1cccc(n1)-c2cccc(n2)-c3cccc(Br)n3,3
Brc1cccc(n1)-c2ccccn2,1
C1=CC(=NC=C1C(F)(F)F)C2=NC=C(C=C2)C(F)(F)F,1
COC(=O)c1ccnc(c1)-c2cc(ccn2)C(=O)OC,1
Oc1cccnc1-c2ncccc2O,2
OC(=O)c1cccnc1-c2ncccc2C(O)=O,5
n1ccccc1-c2ccccn2,2
COC(=O)c1ccnc(c1)-c2cc(cc(n2)-c3cc(ccn3)C(=O)OC)C(=O)OC,4
Cc1cccc(n1)-c2cccc(C)n2,2
C1=CC=C2C(=C1)C=CC(=N2)C3=CC=CC=N3,1
Cc1ccnc(c1)-c2cc(C)ccn2,3
c1ccc2nc(ccc2c1)-c3ccc4ccccc4n3,3
OC(=O)c1ccc(nc1)-c2ccc(cn2)C(O)=O,1
C1=CC=C2C(=C1)C(=CC(=N2)C3=CC=CC=N3)C(=O)O,1
Cc1ccc(nc1)-c2ccc(C)cn2,2
O=C1C=C(NC(=C1)c2ccccn2)c3ccccn3,2
OC(=O)c1ccnc(c1)-c2ccccn2,1
[H]C(=O)c1ccnc(c1)-c2cc(ccn2)C([H])=O,1
COC1=CC(=NC(=C1)C2=CC=CC=N2)C=NO,1
OC(=O)c1ccnc(c1)-c2cc(ccn2)C(O)=O,1
Clc1ccc(cc1)-c2cc(nc(c2)-c3ccccn3)-c4ccccn4,1
c1ccc(nc1)-c2cc(cc(n2)-c3ccccn3)-c4ccc(cc4)-c5cc(nc(c5)-c6ccccn6)-c7ccccn7,1
CCCCCCCCCc1ccnc(c1)-c2cc(CCCCCCCCC)ccn2,1
Clc1cc(nc(c1)-c2ccccn2)-c3ccccn3,1
CC(C)(C)c1ccnc(c1)-c2cc(ccn2)C(C)(C)C,2
COc1ccnc(c1)-c2cc(OC)ccn2,2
Cc1ccc(cc1)-c2cc(nc(c2)-c3ccccn3)-c4ccccn4,1
CC(C)(C)c1ccnc(c1)-c2cc(cc(n2)-c3cc(ccn3)C(C)(C)C)C(C)(C)C,4
